Elitist,Steady_state,Steady_State_Generational,u
0.9774586,0.997541864,0.996190375,0.927203277
0.897763574,0.997534734,0.943258289,0.804268221
0.978397632,0.943627775,0.847272334,0.944955357
0.965523249,0.997510556,0.745568721,0.975478522
0.97848605,0.997437671,0.996974406,0.832782499
0.974968124,0.997539212,0.997513179,0.963183481
0.911007525,0.997543649,0.939415252,0.844163668
0.964464081,0.997538327,0.997238781,0.984895083
0.997340449,0.997287565,0.995147835,0.918721813
0.929868356,0.996915252,0.996543421,0.994532108
0.978483775,0.928736699,0.975119615,0.941235356
0.978478607,0.981014719,0.989150724,0.947860013
0.916364621,0.99748713,0.976533247,0.942294611
0.945371485,0.99719499,0.997320771,0.924124689
0.997061536,0.972926534,0.978526029,0.894808018
0.994083451,0.997523824,0.996825046,0.853729404
0.88888435,0.997521997,0.974680939,0.847392439
0.993328855,0.967390505,0.977520867,0.893527202
0.937170908,0.997425039,0.995462619,0.932733556
0.974205969,0.997478042,0.978385517,0.991003842
0.977630211,0.997524276,0.996160583,0.839389547
0.977322182,0.996920379,0.942726502,0.997183952
0.900743661,0.997474946,0.977894928,0.824347787
0.966982876,0.99729163,0.934791201,0.977516946
0.994919151,0.971406533,0.997496247,0.812624032
0.963605779,0.971930397,0.981360211,0.73525137
0.984623663,0.997519619,0.997514048,0.900489637
0.930142669,0.997539227,0.931698652,0.943552699
0.922538874,0.997506717,0.996444053,0.833937161
0.968980096,0.996535738,0.995515416,0.951714803
